Genome	Description	TotalLength
GCF_008698085.1	OKCJLEHM_01377 NADPH-ferredoxin reductase FprA	471
GCF_008698085.1	OKCJLEHM_01185 Chaperone protein ClpB	893
GCF_008698085.1	OKCJLEHM_00076 hypothetical protein	311
GCF_008698085.1	OKCJLEHM_00515 Xylose import ATP-binding protein XylG	517
GCF_008698085.1	OKCJLEHM_01109 hypothetical protein	460
GCF_900116805.1	OKDGNBDH_01117 hypothetical protein	99
GCF_900116805.1	OKDGNBDH_00813 hypothetical protein	402
GCF_900116805.1	OKDGNBDH_02973 hypothetical protein	61
GCF_900116805.1	OKDGNBDH_01527 Leu/Ile/Val-binding protein	403
GCF_900116805.1	OKDGNBDH_03600 Acetyl-CoA:oxalate CoA-transferase	394
GCF_000421225.1	OKECEIBJ_01510 hypothetical protein	498
GCF_000421225.1	OKECEIBJ_01487 Dihydrofolate reductase	157
GCF_000421225.1	OKECEIBJ_00823 ATPase RavA	297
GCF_000421225.1	OKECEIBJ_01524 hypothetical protein	292
GCF_000421225.1	OKECEIBJ_02340 hypothetical protein	225
GCF_001832905.1	OKEIKHCE_00889 L-cystine import ATP-binding protein TcyN	253
GCF_001832905.1	OKEIKHCE_02227 Glutaconyl-CoA decarboxylase subunit beta	371
GCF_001832905.1	OKEIKHCE_00352 Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	442
GCF_001832905.1	OKEIKHCE_01814 hypothetical protein	138
GCF_001832905.1	OKEIKHCE_02038 Pyrroline-5-carboxylate reductase	259
GCF_020386975.1	OKEMMPEO_02374 Histidine--tRNA ligase	434
GCF_020386975.1	OKEMMPEO_01472 hypothetical protein	149
GCF_020386975.1	OKEMMPEO_01990 hypothetical protein	80
GCF_020386975.1	OKEMMPEO_00496 hypothetical protein	186
GCF_020386975.1	OKEMMPEO_01625 hypothetical protein	331
GCF_003259445.1	OKFAGLAF_00736 UTP--glucose-1-phosphate uridylyltransferase	304
GCF_003259445.1	OKFAGLAF_00342 Membrane-bound lytic murein transglycosylase D	540
GCF_003259445.1	OKFAGLAF_01031 dTTP/UTP pyrophosphatase	207
GCF_003259445.1	OKFAGLAF_00821 hypothetical protein	172
GCF_003259445.1	OKFAGLAF_01522 hypothetical protein	58
GCF_014322795.1	OKFILMDD_01740 hypothetical protein	56
GCF_014322795.1	OKFILMDD_01481 hypothetical protein	333
GCF_014322795.1	OKFILMDD_00441 Putative N-acetylmannosamine-6-phosphate 2-epimerase	231
GCF_014322795.1	OKFILMDD_01390 hypothetical protein	98
GCF_014322795.1	OKFILMDD_02024 hypothetical protein	204
GCF_900107015.1	OKGIJMAN_01115 hypothetical protein	174
GCF_900107015.1	OKGIJMAN_01150 Trans-aconitate 2-methyltransferase	196
GCF_900107015.1	OKGIJMAN_00738 hypothetical protein	173
GCF_900107015.1	OKGIJMAN_03110 Lactonase drp35	292
GCF_900107015.1	OKGIJMAN_01732 Alkyl hydroperoxide reductase AhpD	189
GCF_900156825.1	OKGLPEOM_01200 hypothetical protein	179
GCF_900156825.1	OKGLPEOM_00027 RNA polymerase-binding transcription factor DksA	126
GCF_900156825.1	OKGLPEOM_02267 hypothetical protein	188
GCF_900156825.1	OKGLPEOM_01211 hypothetical protein	212
GCF_900156825.1	OKGLPEOM_02149 Threonine--tRNA ligase	645
GCF_006459125.1	OKGLPJCA_01555 hypothetical protein	164
GCF_006459125.1	OKGLPJCA_02415 hypothetical protein	101
GCF_006459125.1	OKGLPJCA_01964 hypothetical protein	329
GCF_006459125.1	OKGLPJCA_01117 HTH-type transcriptional regulator BetI	197
GCF_006459125.1	OKGLPJCA_02587 Aldehyde-alcohol dehydrogenase	388
GCF_018491655.1	OKHJMDHH_00143 hypothetical protein	323
GCF_018491655.1	OKHJMDHH_00058 hypothetical protein	43
GCF_018491655.1	OKHJMDHH_00010 hypothetical protein	46
GCF_018491655.1	OKHJMDHH_01118 Ubiquinone biosynthesis O-methyltransferase, mitochondrial	206
GCF_018491655.1	OKHJMDHH_02840 30S ribosomal protein S2	261
GCF_023283765.1	OKIGGAOO_01296 hypothetical protein	496
GCF_023283765.1	OKIGGAOO_00826 Extracellular exo-alpha-(1->5)-L-arabinofuranosidase	315
GCF_023283765.1	OKIGGAOO_03390 hypothetical protein	422
GCF_023283765.1	OKIGGAOO_03562 Protease synthase and sporulation protein PAI 2	204
GCF_023283765.1	OKIGGAOO_02514 Penicillin-binding protein 1A	839
GCF_000214035.2	OKIJKGKF_00858 Trk system potassium uptake protein TrkH	481
GCF_000214035.2	OKIJKGKF_02640 Methyl-accepting chemotaxis protein 4	387
GCF_000214035.2	OKIJKGKF_01837 Putrescine transporter PotE	568
GCF_000214035.2	OKIJKGKF_03799 FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase	144
GCF_000214035.2	OKIJKGKF_02760 Molybdate-binding protein ModA	264
GCF_900176165.1	OKJBBACI_01896 hypothetical protein	177
GCF_900176165.1	OKJBBACI_03678 hypothetical protein	43
GCF_900176165.1	OKJBBACI_06342 Cyclic di-GMP phosphodiesterase response regulator RpfG	165
GCF_900176165.1	OKJBBACI_02592 Transcriptional regulatory protein LiaR	210
GCF_900176165.1	OKJBBACI_05067 hypothetical protein	222
GCF_900090285.1	OKJECFPG_04242 Sensor histidine kinase RcsC	1377
GCF_900090285.1	OKJECFPG_02271 Biofilm growth-associated repressor	113
GCF_900090285.1	OKJECFPG_02915 Putative bacilysin exporter BacE	414
GCF_900090285.1	OKJECFPG_04600 hypothetical protein	119
GCF_900090285.1	OKJECFPG_00943 hypothetical protein	330
GCF_900104905.1	OKJJMPKM_05586 Ferrochelatase	340
GCF_900104905.1	OKJJMPKM_00610 hypothetical protein	508
GCF_900104905.1	OKJJMPKM_04425 Protein YceI	189
GCF_900104905.1	OKJJMPKM_04854 Methionine aminopeptidase 1, mitochondrial	602
GCF_900104905.1	OKJJMPKM_04807 hypothetical protein	526
GCF_003340475.1	OKJMHPOP_02163 ATP-dependent zinc metalloprotease FtsH	768
GCF_003340475.1	OKJMHPOP_00869 protein kinase UbiB	447
GCF_003340475.1	OKJMHPOP_01413 Isocitrate dehydrogenase [NADP]	404
GCF_003340475.1	OKJMHPOP_00796 hypothetical protein	236
GCF_003340475.1	OKJMHPOP_02122 Crossover junction endodeoxyribonuclease RuvC	156
GCF_004126515.1	OKKGFICM_00435 hypothetical protein	292
GCF_004126515.1	OKKGFICM_02200 putative copper-exporting P-type ATPase	815
GCF_004126515.1	OKKGFICM_01694 Glucosyl-3-phosphoglycerate synthase	394
GCF_004126515.1	OKKGFICM_01026 Chaperone protein DnaJ	259
GCF_004126515.1	OKKGFICM_02463 hypothetical protein	58
GCF_000970675.1	OKKJEMKC_02871 DNA topoisomerase 3	729
GCF_000970675.1	OKKJEMKC_01810 hypothetical protein	131
GCF_000970675.1	OKKJEMKC_03457 hypothetical protein	151
GCF_000970675.1	OKKJEMKC_00938 hypothetical protein	72
GCF_000970675.1	OKKJEMKC_02386 hypothetical protein	111
GCF_002105285.1	OKKNPKID_03111 Oligopeptide transport ATP-binding protein OppD	327
GCF_002105285.1	OKKNPKID_00857 Beta-glucosidase A	443
GCF_002105285.1	OKKNPKID_00966 hypothetical protein	252
GCF_002105285.1	OKKNPKID_02634 hypothetical protein	42
GCF_002105285.1	OKKNPKID_01355 2,3-dehydroadipyl-CoA hydratase	266
GCF_001469775.1	OKLNLMGI_01535 50S ribosomal protein L11	141
GCF_001469775.1	OKLNLMGI_00798 30S ribosomal protein S1	401
GCF_001469775.1	OKLNLMGI_01973 Serine/threonine-protein kinase PknD	346
GCF_001469775.1	OKLNLMGI_00499 Flavodoxin	148
GCF_001469775.1	OKLNLMGI_01056 Transcriptional regulator SlyA	153
GCF_900110165.1	OKLOPLLA_02662 Carbon monoxide dehydrogenase small chain	178
GCF_900110165.1	OKLOPLLA_00319 hypothetical protein	129
GCF_900110165.1	OKLOPLLA_03378 7-carboxy-7-deazaguanine synthase	268
GCF_900110165.1	OKLOPLLA_03422 hypothetical protein	166
GCF_900110165.1	OKLOPLLA_01031 Cell cycle protein GpsB	280
GCF_004291115.2	OKLPNBJI_00093 hypothetical protein	215
GCF_004291115.2	OKLPNBJI_01243 proline dehydrogenase	333
GCF_004291115.2	OKLPNBJI_00337 hypothetical protein	55
GCF_004291115.2	OKLPNBJI_01868 succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family	204
GCF_004291115.2	OKLPNBJI_02510 Protein Veg	87
GCF_002117085.1	OKMGELKA_00992 Ferredoxin--NADP reductase	373
GCF_002117085.1	OKMGELKA_00523 hypothetical protein	782
GCF_002117085.1	OKMGELKA_02582 GTPase HflX	160
GCF_002117085.1	OKMGELKA_01788 hypothetical protein	895
GCF_002117085.1	OKMGELKA_00119 23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	245
GCA_018006315.1	OKMJGMAG_00338 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	327
GCA_018006315.1	OKMJGMAG_00470 Iron-sulfur cluster insertion protein ErpA	116
GCA_018006315.1	OKMJGMAG_00434 Autonomous glycyl radical cofactor	126
GCA_018006315.1	OKMJGMAG_00920 S-(hydroxymethyl)glutathione dehydrogenase	375
GCA_018006315.1	OKMJGMAG_01558 Thymidine phosphorylase	443
GCF_000526235.1	OKMLCOMD_00548 hypothetical protein	93
GCF_000526235.1	OKMLCOMD_00049 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	209
GCF_000526235.1	OKMLCOMD_00002 hypothetical protein	609
GCF_000526235.1	OKMLCOMD_00030 putative HTH-type transcriptional regulator YbbH	247
GCF_000526235.1	OKMLCOMD_00588 DNA ligase	659
GCF_000237305.1	OKNKKHHL_02538 Vitamin B12 import ATP-binding protein BtuD	232
GCF_000237305.1	OKNKKHHL_05148 Methionyl-tRNA formyltransferase	313
GCF_000237305.1	OKNKKHHL_06682 hypothetical protein	197
GCF_000237305.1	OKNKKHHL_03021 hypothetical protein	371
GCF_000237305.1	OKNKKHHL_06770 hypothetical protein	94
GCF_000245755.1	OKOEMNOG_01191 hypothetical protein	333
GCF_000245755.1	OKOEMNOG_00353 hypothetical protein	210
GCF_000245755.1	OKOEMNOG_01540 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	335
GCF_000245755.1	OKOEMNOG_01304 Nitrate import ATP-binding protein NrtD	255
GCF_000245755.1	OKOEMNOG_00335 hypothetical protein	53
GCF_000421805.1	OKOHBGGE_00157 2-succinylbenzoate--CoA ligase	690
GCF_000421805.1	OKOHBGGE_01332 hypothetical protein	558
GCF_000421805.1	OKOHBGGE_03536 hypothetical protein	70
GCF_000421805.1	OKOHBGGE_02897 hypothetical protein	337
GCF_000421805.1	OKOHBGGE_03182 hypothetical protein	374
GCF_000565325.1	OKOKHMIL_03182 Bacterioferritin	162
GCF_000565325.1	OKOKHMIL_01960 NADPH-dependent curcumin reductase	307
GCF_000565325.1	OKOKHMIL_01857 Protein TusC	96
GCF_000565325.1	OKOKHMIL_00789 hypothetical protein	334
GCF_000565325.1	OKOKHMIL_03265 hypothetical protein	58
GCF_001547995.1	OKPFMJNM_02719 dTTP/UTP pyrophosphatase	202
GCF_001547995.1	OKPFMJNM_02827 hypothetical protein	123
GCF_001547995.1	OKPFMJNM_02491 Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	414
GCF_001547995.1	OKPFMJNM_00370 hypothetical protein	131
GCF_001547995.1	OKPFMJNM_01649 Sulfur carrier protein TusA	89
GCF_006569185.2	OKPKJMKM_03431 Virginiamycin B lyase	1202
GCF_006569185.2	OKPKJMKM_01060 Chromosomal replication initiator protein DnaA	581
GCF_006569185.2	OKPKJMKM_02556 Putative multidrug export ATP-binding/permease protein	643
GCF_006569185.2	OKPKJMKM_03211 Tyrosine recombinase XerD	320
GCF_006569185.2	OKPKJMKM_01915 hypothetical protein	824
GCF_003148495.1	OLAGEEOA_01794 hypothetical protein	157
GCF_003148495.1	OLAGEEOA_00847 Protein phosphotransferase ChpT	209
GCF_003148495.1	OLAGEEOA_01747 2,2-dialkylglycine decarboxylase	445
GCF_003148495.1	OLAGEEOA_03629 Alkyl hydroperoxide reductase AhpD	159
GCF_003148495.1	OLAGEEOA_07064 hypothetical protein	91
GCF_900103715.1	OLAHPCII_03243 hypothetical protein	130
GCF_900103715.1	OLAHPCII_00608 hypothetical protein	353
GCF_900103715.1	OLAHPCII_00147 hypothetical protein	79
GCF_900103715.1	OLAHPCII_00575 protein kinase UbiB	559
GCF_900103715.1	OLAHPCII_01568 [LysW]-lysine/[LysW]-ornithine hydrolase	359
GCF_000020045.1	OLAMINKN_05815 N-substituted formamide deformylase	626
GCF_000020045.1	OLAMINKN_00788 Cobalamin biosynthesis protein CbiB	312
GCF_000020045.1	OLAMINKN_03425 Sensor histidine kinase RcsC	608
GCF_000020045.1	OLAMINKN_00840 7-methyl-GTP pyrophosphatase	206
GCF_000020045.1	OLAMINKN_06326 hypothetical protein	151
GCF_900094625.1	OLANBLOP_01009 hypothetical protein	250
GCF_900094625.1	OLANBLOP_00330 Acyl-CoA thioesterase YbgC	151
GCF_900094625.1	OLANBLOP_00560 Endonuclease III	243
GCF_900094625.1	OLANBLOP_00196 Ribosomal RNA small subunit methyltransferase B	460
GCF_900094625.1	OLANBLOP_02336 hypothetical protein	357
GCF_000967465.2	OLBPGMNB_01660 Tuberculostearic acid methyltransferase UfaA1	412
GCF_000967465.2	OLBPGMNB_01127 Lon protease	547
GCF_000967465.2	OLBPGMNB_00853 [Ribosomal protein S5]-alanine N-acetyltransferase	192
GCF_000967465.2	OLBPGMNB_04678 hypothetical protein	434
GCF_000967465.2	OLBPGMNB_02504 hypothetical protein	295
GCF_000815225.1	OLCBBMJM_01369 hypothetical protein	308
GCF_000815225.1	OLCBBMJM_00682 Uracil-DNA glycosylase	220
GCF_000815225.1	OLCBBMJM_00958 DNA repair protein RecO	233
GCF_000815225.1	OLCBBMJM_00220 hypothetical protein	490
GCF_000815225.1	OLCBBMJM_01270 hypothetical protein	206
GCF_900112885.1	OLCDDMFM_00072 Ribosome-recycling factor	184
GCF_900112885.1	OLCDDMFM_01386 hypothetical protein	318
GCF_900112885.1	OLCDDMFM_02130 GTP pyrophosphokinase YwaC	234
GCF_900112885.1	OLCDDMFM_00293 hypothetical protein	89
GCF_900112885.1	OLCDDMFM_01442 hypothetical protein	354
GCF_000761095.1	OLCLJKOB_00713 Pyruvate synthase subunit PorB	310
GCF_000761095.1	OLCLJKOB_01941 50S ribosomal protein L33 2	49
GCF_000761095.1	OLCLJKOB_00438 Diaminopimelate epimerase	277
GCF_000761095.1	OLCLJKOB_00087 hypothetical protein	156
GCF_000761095.1	OLCLJKOB_01998 hypothetical protein	155
GCF_900167055.1	OLCMINAH_00383 hypothetical protein	141
GCF_900167055.1	OLCMINAH_01911 Mycothiol acetyltransferase	161
GCF_900167055.1	OLCMINAH_00046 Proton/glutamate-aspartate symporter	440
GCF_900167055.1	OLCMINAH_02623 hypothetical protein	300
GCF_900167055.1	OLCMINAH_00311 Virginiamycin B lyase	441
GCF_900453865.1	OLCONFEB_00012 Transposase from transposon Tn916	308
GCF_900453865.1	OLCONFEB_00441 D-aminoacyl-tRNA deacylase	213
GCF_900453865.1	OLCONFEB_02809 hypothetical protein	160
GCF_900453865.1	OLCONFEB_00520 hypothetical protein	105
GCF_900453865.1	OLCONFEB_01512 hypothetical protein	237
GCF_004006375.1	OLDCGADL_01352 Cytochrome c-type biogenesis protein CcmH	159
GCF_004006375.1	OLDCGADL_03549 hypothetical protein	125
GCF_004006375.1	OLDCGADL_00158 Phosphoribosylformylglycinamidine synthase subunit PurL	323
GCF_004006375.1	OLDCGADL_01366 Holliday junction ATP-dependent DNA helicase RuvB	665
GCF_004006375.1	OLDCGADL_00041 hypothetical protein	78
GCF_007991475.1	OLDGAGHO_01817 hypothetical protein	539
GCF_007991475.1	OLDGAGHO_00682 hypothetical protein	231
GCF_007991475.1	OLDGAGHO_00414 Cytochrome bc1 complex cytochrome c subunit	259
GCF_007991475.1	OLDGAGHO_01622 tRNA-specific adenosine deaminase	181
GCF_007991475.1	OLDGAGHO_00600 Elongation factor P	187
GCF_000024385.1	OLDONFDA_02892 hypothetical protein	132
GCF_000024385.1	OLDONFDA_03467 hypothetical protein	109
GCF_000024385.1	OLDONFDA_00342 3-methyl-2-oxobutanoate dehydrogenase subunit beta	335
GCF_000024385.1	OLDONFDA_01925 N-(2-amino-2-carboxyethyl)-L-glutamate synthase	333
GCF_000024385.1	OLDONFDA_04759 hypothetical protein	271
GCF_001639265.1	OLEOPLKH_00204 GTPase Obg	348
GCF_001639265.1	OLEOPLKH_01726 GTPase HflX	205
GCF_001639265.1	OLEOPLKH_01599 UvrABC system protein A	962
GCF_001639265.1	OLEOPLKH_01640 Polyribonucleotide nucleotidyltransferase	272
GCF_001639265.1	OLEOPLKH_00070 O-succinylhomoserine sulfhydrylase	428
GCF_002259755.1	OLEPBBIP_02050 Putative peroxiredoxin	170
GCF_002259755.1	OLEPBBIP_00679 Carboxylesterase	475
GCF_002259755.1	OLEPBBIP_00018 hypothetical protein	120
GCF_002259755.1	OLEPBBIP_01514 Low affinity potassium transport system protein kup	827
GCF_002259755.1	OLEPBBIP_00439 hypothetical protein	459
GCF_024585325.1	OLFMPPBM_00006 ATP synthase subunit b	156
GCF_024585325.1	OLFMPPBM_03447 Trehalose import ATP-binding protein SugC	351
GCF_024585325.1	OLFMPPBM_01867 hypothetical protein	65
GCF_024585325.1	OLFMPPBM_04358 hypothetical protein	64
GCF_024585325.1	OLFMPPBM_04615 hypothetical protein	346
GCF_004217565.1	OLFNNKJF_00498 hypothetical protein	83
GCF_004217565.1	OLFNNKJF_00983 Putative acyl-CoA dehydrogenase YdbM	387
GCF_004217565.1	OLFNNKJF_03277 hypothetical protein	449
GCF_004217565.1	OLFNNKJF_01093 putative protein	109
GCF_004217565.1	OLFNNKJF_00679 putative protein	252
GCF_003337435.1	OLGDCPKM_00044 Phosphoenolpyruvate carboxykinase [GTP]	608
GCF_003337435.1	OLGDCPKM_00024 Cell division protein FtsZ	617
GCF_003337435.1	OLGDCPKM_01689 hypothetical protein	34
GCF_003337435.1	OLGDCPKM_01112 Putative membrane-bound redox modulator Alx	351
GCF_003337435.1	OLGDCPKM_01875 Dissimilatory sulfite reductase	650
GCF_014640635.1	OLGHLGBM_01819 hypothetical protein	118
GCF_014640635.1	OLGHLGBM_00296 Group 2 truncated hemoglobin GlbO	124
GCF_014640635.1	OLGHLGBM_02208 putative glycerophosphodiester phosphodiesterase 1	260
GCF_014640635.1	OLGHLGBM_01161 Nucleoid occlusion factor SlmA	203
GCF_014640635.1	OLGHLGBM_02873 putative peptidyl-prolyl cis-trans isomerase B	246
GCA_028866655.1	OLHDKIMD_01381 Argininosuccinate lyase	489
GCA_028866655.1	OLHDKIMD_00140 Potassium-transporting ATPase ATP-binding subunit	815
GCA_028866655.1	OLHDKIMD_01028 Nickel-responsive regulator	54
GCA_028866655.1	OLHDKIMD_00749 hypothetical protein	95
GCA_028866655.1	OLHDKIMD_00906 Quinolinate synthase A	312
GCF_005160065.1	OLHFDOHO_03628 hypothetical protein	162
GCF_005160065.1	OLHFDOHO_03337 Sec translocon accessory complex subunit YajC	90
GCF_005160065.1	OLHFDOHO_03613 hypothetical protein	262
GCF_005160065.1	OLHFDOHO_01421 General stress protein 39	287
GCF_005160065.1	OLHFDOHO_03326 hypothetical protein	57
GCF_900474415.1	OLJMMIDE_00392 Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	190
GCF_900474415.1	OLJMMIDE_00325 Bifunctional chorismate mutase/prephenate dehydratase	357
GCF_900474415.1	OLJMMIDE_01237 Spermidine export protein MdtI	102
GCF_900474415.1	OLJMMIDE_01553 hypothetical protein	64
GCF_900474415.1	OLJMMIDE_00503 50S ribosomal protein L7/L12	125
GCF_008974265.1	OLKALEDO_05074 Anaerobic sulfite reductase subunit B	279
GCF_008974265.1	OLKALEDO_06503 hypothetical protein	112
GCF_008974265.1	OLKALEDO_06621 hypothetical protein	354
GCF_008974265.1	OLKALEDO_00966 3-dehydroquinate synthase	552
GCF_008974265.1	OLKALEDO_03452 putative Nudix hydrolase NudL	207
GCF_002706665.1	OLKDGCKE_00187 hypothetical protein	336
GCF_002706665.1	OLKDGCKE_00743 tRNA dimethylallyltransferase	337
GCF_002706665.1	OLKDGCKE_00412 Homoserine O-acetyltransferase	347
GCF_002706665.1	OLKDGCKE_01306 Mycothiol acetyltransferase	159
GCF_002706665.1	OLKDGCKE_01620 Beta-galactosidase	1123
GCF_014652355.1	OLKJBCPL_02514 Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]	387
GCF_014652355.1	OLKJBCPL_03362 hypothetical protein	318
GCF_014652355.1	OLKJBCPL_00366 HTH-type transcriptional regulator LrpC	143
GCF_014652355.1	OLKJBCPL_02009 hypothetical protein	172
GCF_014652355.1	OLKJBCPL_02184 CTP pyrophosphohydrolase	132
GCF_000381765.1	OLLDHOGG_01953 Ferric enterobactin transport ATP-binding protein FepC	300
GCF_000381765.1	OLLDHOGG_00759 hypothetical protein	412
GCF_000381765.1	OLLDHOGG_00388 hypothetical protein	109
GCF_000381765.1	OLLDHOGG_01961 Membrane-bound lytic murein transglycosylase F	288
GCF_000381765.1	OLLDHOGG_01945 Transcriptional regulatory protein DegU	233
GCF_015555825.1	OLMNCCFN_00503 Tyrosine recombinase XerC	399
GCF_015555825.1	OLMNCCFN_00659 Tol-Pal system protein TolR	216
GCF_015555825.1	OLMNCCFN_02285 UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase	468
GCF_015555825.1	OLMNCCFN_01817 Lipopolysaccharide export system permease protein LptG	380
GCF_015555825.1	OLMNCCFN_00847 hypothetical protein	669
GCF_016767175.1	OLNKMPLC_00468 dITP/XTP pyrophosphatase	211
GCF_016767175.1	OLNKMPLC_00913 hypothetical protein	63
GCF_016767175.1	OLNKMPLC_01950 hypothetical protein	430
GCF_016767175.1	OLNKMPLC_02211 hypothetical protein	65
GCF_016767175.1	OLNKMPLC_00608 Aspartate carbamoyltransferase	307
GCF_000818095.1	OLOOHNGL_02097 DNA repair protein RecN	564
GCF_000818095.1	OLOOHNGL_00590 Glutamine transport ATP-binding protein GlnQ	240
GCF_000818095.1	OLOOHNGL_01770 putative protein YflH	85
GCF_000818095.1	OLOOHNGL_03126 hypothetical protein	123
GCF_000818095.1	OLOOHNGL_03802 hypothetical protein	72
GCF_900637575.1	OLPAEFJI_00185 hypothetical protein	279
GCF_900637575.1	OLPAEFJI_00087 Polyphosphate kinase	1099
GCF_900637575.1	OLPAEFJI_01364 hypothetical protein	354
GCF_900637575.1	OLPAEFJI_00006 hypothetical protein	301
GCF_900637575.1	OLPAEFJI_00212 hypothetical protein	448
GCF_003721225.1	OLPKMCJE_01263 hypothetical protein	95
GCF_003721225.1	OLPKMCJE_00568 hypothetical protein	73
GCF_003721225.1	OLPKMCJE_01657 hypothetical protein	153
GCF_003721225.1	OLPKMCJE_01543 hypothetical protein	102
GCF_003721225.1	OLPKMCJE_00643 hypothetical protein	429
GCF_000975035.1	OLPLGKEJ_00439 50S ribosomal protein L33 2	56
GCF_000975035.1	OLPLGKEJ_00532 hypothetical protein	213
GCF_000975035.1	OLPLGKEJ_02235 hypothetical protein	207
GCF_000975035.1	OLPLGKEJ_02262 Uroporphyrinogen decarboxylase	363
GCF_000975035.1	OLPLGKEJ_01308 LL-diaminopimelate aminotransferase	465
GCF_001278945.1	OLPNAECI_02227 Flagellar biosynthetic protein FliR	258
GCF_001278945.1	OLPNAECI_02777 Putative sugar phosphate isomerase YwlF	145
GCF_001278945.1	OLPNAECI_00508 hypothetical protein	138
GCF_001278945.1	OLPNAECI_03748 hypothetical protein	162
GCF_001278945.1	OLPNAECI_01543 HTH-type transcriptional regulator MtrR	187
GCF_003019655.1	OLPPAIAD_00469 Cardiolipin synthase	267
GCF_003019655.1	OLPPAIAD_00117 Oligosaccharides import ATP-binding protein MsmX	374
GCF_003019655.1	OLPPAIAD_02677 hypothetical protein	148
GCF_003019655.1	OLPPAIAD_00782 hypothetical protein	144
GCF_003019655.1	OLPPAIAD_01166 putative histidine-binding protein	246
GCF_902860155.1	OMAEMICJ_03716 Diacetyl reductase [(S)-acetoin forming]	252
GCF_902860155.1	OMAEMICJ_04730 hypothetical protein	550
GCF_902860155.1	OMAEMICJ_01879 hypothetical protein	438
GCF_902860155.1	OMAEMICJ_03341 Intermembrane transport protein PqiA	445
GCF_902860155.1	OMAEMICJ_03212 hypothetical protein	327
GCF_003864975.1	OMAGPMFK_02632 hypothetical protein	280
GCF_003864975.1	OMAGPMFK_02760 Toluene efflux pump outer membrane protein TtgI	467
GCF_003864975.1	OMAGPMFK_02551 hypothetical protein	598
GCF_003864975.1	OMAGPMFK_02631 Protein UmuC	435
GCF_003864975.1	OMAGPMFK_02428 dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	372
GCF_004005845.1	OMAHDMDE_03357 Sensor histidine kinase RcsC	694
GCF_004005845.1	OMAHDMDE_00428 hypothetical protein	269
GCF_004005845.1	OMAHDMDE_02190 Transcriptional activator NphR	318
GCF_004005845.1	OMAHDMDE_02789 Apolipoprotein N-acyltransferase	588
GCF_004005845.1	OMAHDMDE_00776 5'-deoxynucleotidase YfbR	214
GCF_000305495.1	OMALAIPJ_03417 Argininosuccinate lyase	496
GCF_000305495.1	OMALAIPJ_04242 Chromosome partition protein Smc	732
GCF_000305495.1	OMALAIPJ_00809 Alanine--tRNA ligase	879
GCF_000305495.1	OMALAIPJ_01025 Phosphoglycerate kinase	394
GCF_000305495.1	OMALAIPJ_01849 Nuclease SbcCD subunit D	381
GCF_002564005.1	OMBAIDPI_01446 Ferric enterobactin transport ATP-binding protein FepC	262
GCF_002564005.1	OMBAIDPI_01547 Nicotinate phosphoribosyltransferase pncB1	440
GCF_002564005.1	OMBAIDPI_02714 Transketolase	676
GCF_002564005.1	OMBAIDPI_01920 50S ribosomal protein L10	179
GCF_002564005.1	OMBAIDPI_01282 Arginine repressor	175
GCA_003543615.1	OMBCHHPM_00133 hypothetical protein	104
GCA_003543615.1	OMBCHHPM_00561 hypothetical protein	583
GCA_003543615.1	OMBCHHPM_00896 Linearmycin resistance ATP-binding protein LnrL	156
GCA_003543615.1	OMBCHHPM_00463 hypothetical protein	94
GCA_003543615.1	OMBCHHPM_00501 Ribose import ATP-binding protein RbsA	45
GCF_014486675.1	OMBCNLFJ_02537 hypothetical protein	241
GCF_014486675.1	OMBCNLFJ_00012 hypothetical protein	131
GCF_014486675.1	OMBCNLFJ_01649 1-deoxy-D-xylulose-5-phosphate synthase	658
GCF_014486675.1	OMBCNLFJ_02326 Alanine dehydrogenase	397
GCF_014486675.1	OMBCNLFJ_01984 HTH-type transcriptional activator CmpR	307
GCF_002964965.1	OMBDGIDJ_01847 hypothetical protein	337
GCF_002964965.1	OMBDGIDJ_00911 hypothetical protein	921
GCF_002964965.1	OMBDGIDJ_00505 hypothetical protein	296
GCF_002964965.1	OMBDGIDJ_01534 hypothetical protein	201
GCF_002964965.1	OMBDGIDJ_01020 hypothetical protein	536
GCF_007830455.1	OMCCBEDN_04101 HTH-type transcriptional regulator DmlR	316
GCF_007830455.1	OMCCBEDN_00322 hypothetical protein	355
GCF_007830455.1	OMCCBEDN_00748 hypothetical protein	176
GCF_007830455.1	OMCCBEDN_02790 hypothetical protein	142
GCF_007830455.1	OMCCBEDN_01620 Uridylate kinase	238
GCF_002220755.1	OMCCPHOF_00644 Glucose-6-phosphate isomerase	406
GCF_002220755.1	OMCCPHOF_00713 Putative sugar phosphate isomerase YwlF	145
GCF_002220755.1	OMCCPHOF_01391 Formyltetrahydrofolate deformylase	280
